Group1,Group2,Group3,Group4,Group5,Group6,Group7,P,PairProduct,FinalResult,NormalizedFinalResult
1.1.,2.1.,3.1.,4.3.,5.4.,6.2.,7.3.,0.00024000000000000003,97.47748416818702,0.023394596200364888,2.740786136766775e-05
1.1.,2.1.,3.1.,4.4.,5.1.,6.1.,7.1.,7.2e-05,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.1.,7.2.,0.00010800000000000001,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.1.,7.3.,0.00018,8.842209626902916,0.0015915977328425249,1.8646310302274777e-06
1.1.,2.1.,3.1.,4.4.,5.1.,6.2.,7.1.,4.800000000000001e-05,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.2.,7.2.,7.2e-05,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.2.,7.3.,0.00012000000000000002,16.010154709066814,0.001921218565088018,2.2507972199195587e-06
1.1.,2.1.,3.1.,4.4.,5.2.,6.1.,7.1.,0.00036,1144.2551747950702,0.4119318629262253,0.0004825974039180469
1.1.,2.1.,3.1.,4.4.,5.2.,6.1.,7.2.,0.00054,1676.1550412037147,0.9051237222500059,0.0010603946863433637
1.1.,2.1.,3.1.,4.4.,5.2.,6.1.,7.3.,0.0009,213.05792968189445,0.191752136713705,0.00022464657799570526
1.1.,2.1.,3.1.,4.4.,5.2.,6.2.,7.1.,0.00024000000000000003,3515.860978176136,0.8438066347622728,0.0009885588564389034
1.1.,2.1.,3.1.,4.4.,5.2.,6.2.,7.2.,0.00036,3825.853184957291,1.377307146584625,0.0016135796066315807
1.1.,2.1.,3.1.,4.4.,5.2.,6.2.,7.3.,0.0006000000000000001,392.7875936556151,0.2356725561933691,0.0002761013993569593
1.1.,2.1.,3.1.,4.4.,5.3.,6.1.,7.1.,0.00021600000000000002,387.23351784817953,0.08364243985520678,9.799102221602952e-05
1.1.,2.1.,3.1.,4.4.,5.3.,6.1.,7.2.,0.000324,698.1373518897468,0.22619650201227798,0.00026499975959863755
1.1.,2.1.,3.1.,4.4.,5.3.,6.1.,7.3.,0.00054,88.74101450687446,0.047920147833712214,5.6140689811266906e-05
1.1.,2.1.,3.1.,4.4.,5.3.,6.2.,7.1.,0.000144,1470.9329638955137,0.21181434680095398,0.00024815039349613134
1.1.,2.1.,3.1.,4.4.,5.3.,6.2.,7.2.,0.00021600000000000002,1969.9995052172058,0.42551989312691646,0.000498516415505621
1.1.,2.1.,3.1.,4.4.,5.3.,6.2.,7.3.,0.00036,202.25328253563302,0.0728111817128279,8.53016977642951e-05
1.1.,2.1.,3.1.,4.4.,5.4.,6.1.,7.1.,7.2e-05,62.1570712234359,0.004475309128087385,5.2430335240479155e-06
1.1.,2.1.,3.1.,4.4.,5.4.,6.1.,7.2.,0.00010800000000000001,105.94955322176571,0.011442551747950698,1.3405483442167964e-05
1.1.,2.1.,3.1.,4.4.,5.4.,6.1.,7.3.,0.00018,16.834206789680554,0.0030301572221425,3.549970615240776e-06
1.1.,2.1.,3.1.,4.4.,5.4.,6.2.,7.1.,4.800000000000001e-05,177.3432521619709,0.008512476103774605,9.972763066720508e-06
1.1.,2.1.,3.1.,4.4.,5.4.,6.2.,7.2.,7.2e-05,224.5580141011969,0.016168177015286177,1.8941774006595765e-05
1.1.,2.1.,3.1.,4.4.,5.4.,6.2.,7.3.,0.00012000000000000002,28.818278476320266,0.0034581934171584324,4.051434995855206e-06
1.1.,2.1.,3.2.,4.1.,5.1.,6.1.,7.1.,5.4000000000000005e-05,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.1.,5.1.,6.1.,7.2.,8.1e-05,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.1.,5.1.,6.1.,7.3.,0.000135,59.73367716703716,0.008064046417550017,9.447406759309716e-06
1.1.,2.1.,3.2.,4.1.,5.1.,6.2.,7.1.,3.6e-05,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.1.,5.1.,6.2.,7.2.,5.4000000000000005e-05,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.1.,5.1.,6.2.,7.3.,9e-05,50.24480446276041,0.004522032401648437,5.297772019785874e-06
1.1.,2.1.,3.2.,4.1.,5.2.,6.1.,7.1.,0.00027,708.9271575868147,0.19141033254843998,0.00022424613846273614
1.1.,2.1.,3.2.,4.1.,5.2.,6.1.,7.2.,0.0004049999999999999,1118.3496326114114,0.45293160120762155,0.0005306305109357112
1.1.,2.1.,3.2.,4.1.,5.2.,6.1.,7.3.,0.0006749999999999999,355.3866610298485,0.2398859961951477,0.00028103764097706183
1.1.,2.1.,3.2.,4.1.,5.2.,6.2.,7.1.,0.00018,1011.9233346346153,0.18214620023423078,0.00021339277506270376
1.1.,2.1.,3.2.,4.1.,5.2.,6.2.,7.2.,0.00027,1185.8476577749402,0.32017886759923386,0.000375104487414909
1.1.,2.1.,3.2.,4.1.,5.2.,6.2.,7.3.,0.00045,304.36756549556793,0.13696540447300556,0.00016046136406082216
1.1.,2.1.,3.2.,4.1.,5.3.,6.1.,7.1.,0.00016199999999999998,338.22535427024593,0.054792507391779835,6.419197979392307e-05
