Group1,Group2,Group3,Group4,Group5,Group6,Group7,PC-Norm,8.1.,8.2.,8.3.,8.4.,8.5.,8.1.-Norm,8.2.-Norm,8.3.-Norm,8.4.-Norm,8.5.-Norm,8.1.-Weighted,8.2.-Weighted,8.3.-Weighted,8.4.-Weighted,8.5.-Weighted
1.1.,2.1.,3.1.,4.3.,5.1.,6.2.,7.1.,0.0,1.8345599999999995,4.0543776,1.9423404,7.983359999999999,0.31104,0.11376637931130709,0.2514236982779887,0.1204501540958464,0.4950712770030507,0.01928849131180717,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.2.,7.2.,0.0,1.7035199999999997,3.8158848,1.7929295999999997,7.451135999999999,0.5443199999999999,0.11128451301502011,0.2492773091536451,0.11712530372770194,0.48675450899824185,0.035558365105391045,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.2.,7.3.,3.0453179297408627e-05,1.4414399999999998,2.8619136,1.7929295999999997,6.386688,0.69984,0.10934238366396386,0.2170943326564519,0.13600510337279198,0.48447086915725535,0.05308731114953691,3.3298232145247352e-06,6.611212636838203e-06,4.141787798374229e-06,1.4753678242817292e-05,1.6166774048541676e-06
1.1.,2.1.,3.1.,4.3.,5.2.,6.1.,7.1.,0.0012013185989075,6.420959999999999,7.095160799999999,3.296092799999999,6.918912,0.1935359999999999,0.26838247944121396,0.2965626397825414,0.13776967277982313,0.289195814581553,0.008089393414868612,0.0003224128641736401,0.00035626621491187225,0.00016550527027580188,0.00034741631078302445,9.717938763161518e-06
1.1.,2.1.,3.1.,4.3.,5.2.,6.1.,7.2.,0.0028155904661894,5.962319999999999,6.6777984,3.0425471999999987,6.457651199999999,0.3386879999999999,0.26523950028250365,0.2970682403164041,0.13535061836901247,0.2872747818444347,0.015066859187645174,0.000746805808252258,0.000836422505242529,0.0003810919106726314,0.0008088481369378302,4.2422105084151926e-05
1.1.,2.1.,3.1.,4.3.,5.2.,6.1.,7.3.,0.0008201710746881,5.045039999999999,5.008348799999999,3.0425471999999987,5.535129599999999,0.4354559999999999,0.26460201319573673,0.2626776349179496,0.15957536795804428,0.29030620876332264,0.022838775164946708,0.0002170189175273822,0.0002154405981271831,0.00013087910103189816,0.00023810075523004223,1.873170277159423e-05
1.1.,2.1.,3.1.,4.3.,5.2.,6.2.,7.1.,0.0011580220168059,5.136767999999998,6.588363599999999,2.4720695999999998,6.386688,0.248832,0.2465721088803319,0.31625074500589007,0.11866282739865976,0.30657003176330133,0.011944286951816934,0.00028553593081368596,0.00036622532554808927,0.0001374141667040864,0.00035501484647478703,1.3831747265251442e-05
1.1.,2.1.,3.1.,4.3.,5.2.,6.2.,7.2.,0.0020161990471175,4.769855999999999,6.2008128,2.2819103999999992,5.960908799999999,0.4354559999999999,0.24275380905966243,0.3155799517775612,0.11613399681937103,0.3033704406710101,0.022161801672395218,0.0004894399985102349,0.0006362719980633056,0.00023414925372516266,0.0006116551934045067,4.468260341429026e-05
1.1.,2.1.,3.1.,4.3.,5.2.,6.2.,7.3.,0.0004743668313634,4.036032,4.650609599999999,2.2819103999999992,5.109350399999999,0.559872,0.24258244540207258,0.2795211359519336,0.13715238259271023,0.3070933814320743,0.03365065462120945,0.00011507306596976615,0.0001325955555606169,6.506054114444469e-05,0.00014567491428260507,1.596275440596728e-05
1.1.,2.1.,3.1.,4.3.,5.3.,6.1.,7.1.,0.000374205877107,5.503679999999999,7.095160799999999,2.825222399999999,7.495488000000001,0.209664,0.2379535990481856,0.30676184810628593,0.12214951417806859,0.3240701396561005,0.009064899011359453,8.90436352425937e-05,0.00011479208643357703,4.5709066091198085e-05,0.00012126895085419907,3.3921384854321412e-06
1.1.,2.1.,3.1.,4.3.,5.3.,6.1.,7.2.,0.0010794400301164,5.11056,6.6777984,2.607897599999999,6.995788800000001,0.3669119999999999,0.23487155413627184,0.30689883073806185,0.11985398123498268,0.3215130607732077,0.01686257311747592,0.0002535297574703429,0.0003312788830945814,0.00012937518511386013,0.0003470540680038472,1.8202136433768203e-05
1.1.,2.1.,3.1.,4.3.,5.3.,6.1.,7.3.,0.0003144368828468,4.32432,5.008348799999999,2.607897599999999,5.9963904,0.471744,0.2349063112590759,0.2720642186764206,0.14166657540547342,0.32573675161258525,0.025626143046444644,7.386320827334399e-05,8.554702485476384e-05,4.45451963740782e-05,0.00010242364880570365,8.057804538910252e-06
1.1.,2.1.,3.1.,4.3.,5.3.,6.2.,7.1.,0.000445944025352,4.402943999999999,6.588363599999999,2.1189168,6.918912,0.269568,0.21690763672581975,0.32457064599650015,0.10438680017430078,0.3408548577120026,0.013280059391376723,9.672866465110137e-05,0.00014474034038677828,4.655066986334255e-05,0.00015200218730887364,5.922163141904167e-06
1.1.,2.1.,3.1.,4.3.,5.3.,6.2.,7.2.,0.00095559434004,4.088448,6.2008128,1.9559231999999995,6.457651199999999,0.471744,0.2132223063335857,0.3233871646059383,0.10200605601816805,0.3367818992345866,0.024602573807721427,0.00020375402910264952,0.00030902694413901844,9.747640978076456e-05,0.0003218268767364926,2.3510080281074947e-05
1.1.,2.1.,3.1.,4.3.,5.3.,6.2.,7.3.,0.0002248301127816,3.4594559999999994,4.650609599999999,1.9559231999999995,5.535129599999999,0.6065280000000001,0.21344592019233588,0.2869392313494697,0.12067903949335912,0.34151347230773743,0.037422336657097856,4.798907030961527e-05,6.451257974576689e-05,2.7132282059667093e-05,7.678251249538444e-05,8.413668171166315e-06
1.1.,2.1.,3.1.,4.3.,5.4.,6.1.,7.1.,5.138974006437702e-05,3.66912,4.912034399999999,2.1189168,8.072064,0.2257919999999999,0.1931326487028543,0.2585563334509461,0.11153410462589836,0.4248918271462794,0.011885086074021797,9.925036614784324e-06,1.3287142768042509e-05,5.7317086450379475e-06,2.183508055252551e-05,6.107714839867274e-07
1.1.,2.1.,3.1.,4.3.,5.4.,6.1.,7.2.,0.0001401538365392,3.4070400000000003,4.623091199999999,1.9559231999999995,7.533926399999999,0.3951359999999999,0.19017682318431775,0.2580553200747203,0.1091772508008432,0.420534595677322,0.022056010262796605,2.6654011390119214e-05,3.616744314782329e-05,1.530161056254062e-05,5.8939536981637954e-05,3.091234457078913e-06
1.1.,2.1.,3.1.,4.3.,5.4.,6.1.,7.3.,5.103286686948551e-05,2.88288,3.467318399999999,1.9559231999999995,6.457651199999999,0.5080319999999999,0.1887714017926683,0.2270405132470001,0.12807413567779494,0.4228479400155769,0.033266009266959724,9.6335458164514e-06,1.1586528286513817e-05,6.535990315469334e-06,2.157914262885113e-05,1.697659822199827e-06
1.1.,2.1.,3.1.,4.3.,5.4.,6.2.,7.1.,4.599920788979204e-05,2.935296,4.5611748,1.5891875999999998,7.451135999999998,0.290304,0.17443863048902125,0.27106127815833064,0.09444216478819664,0.44280575431828456,0.017252172246166937,8.024038827875105e-06,1.2468604084877798e-05,4.344264771654255e-06,2.036871394768295e-05,7.935862577019335e-07
1.1.,2.1.,3.1.,4.3.,5.4.,6.2.,7.2.,9.319320040009815e-05,2.725632,4.2928704,1.4669423999999998,6.954393599999998,0.5080319999999999,0.17090883808536597,0.2691814199844514,0.09198359174024891,0.4360703608426614,0.031855789347272345,1.5927541597837438e-05,2.5085878016593965e-05,8.57224529856983e-06,4.0638792526553254e-05,2.9687429605436635e-06
1.1.,2.1.,3.1.,4.3.,5.4.,6.2.,7.3.,2.740786136766775e-05,2.306304,3.2196527999999995,1.4669423999999998,5.960908799999998,0.653184,0.1694940365953034,0.23661752722423887,0.10780798577672421,0.438076894584784,0.048003555818949564,4.64546905765048e-06,6.485180383322289e-06,2.954786328495954e-06,1.2006750795158159e-05,1.3156748030408703e-06
1.1.,2.1.,3.1.,4.4.,5.1.,6.1.,7.1.,0.0,2.116799999999999,4.9900032,1.8834816,9.2664,0.18144,0.11480560105548256,0.27063507022145766,0.1021514725835894,0.5025673760490004,0.009840480090469938,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.1.,7.2.,0.0,1.9656,4.6964736,1.7385983999999997,8.64864,0.3175199999999999,0.11318126414765803,0.2704277671368042,0.10011027918045155,0.4979975622496953,0.01828312728539091,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.1.,7.3.,1.8646310302274777e-06,1.6631999999999996,3.5223552,1.7385983999999997,7.413120000000001,0.40824,0.11279362965017371,0.2388763996664043,0.1179069408609816,0.5027373207264887,0.027685709095951735,2.1031850185769999e-07,4.454163472069982e-07,2.198529406085824e-07,9.374196082800345e-07,5.1623632274162735e-08
1.1.,2.1.,3.1.,4.4.,5.1.,6.2.,7.1.,0.0,1.6934399999999996,4.6335744000000005,1.4126111999999995,8.553600000000001,0.23328,0.10246812248077414,0.2803723008450135,0.08547549216937908,0.5175685778365634,0.014115506668269908,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.2.,7.2.,0.0,1.57248,4.361011200000001,1.3039487999999997,7.98336,0.40824,0.10061270557884554,0.279032570138665,0.08343115124153497,0.5108029667849081,0.026120606256046435,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.4.,5.1.,6.2.,7.3.,2.2507972199195587e-06,1.33056,3.2707584000000005,1.3039487999999997,6.842880000000001,0.52488,0.10024540596134691,0.2464214342904383,0.09824049784211997,0.5155478020869271,0.0395448598191677,2.256320810475072e-07,5.546446792295088e-07,2.2111943942655704e-07,1.1603935596728944e-06,8.900746054309132e-08
